"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lci_b3v_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #4
Country:",,,,,,,"[lci_b3_count] >= 4",,,,,,
lci_b3i_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #5
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 5",y,,,,,
lci_b3ii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #5
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 5",y,,,,,
lci_b3iii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #5
City:",,,,,,,"[lci_b3_count] >= 5",,,,,,
lci_b3iv_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #5
State:",,,,,,,"[lci_b3_count] >= 5",,,,,,
lci_b3v_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #5
Country:",,,,,,,"[lci_b3_count] >= 5",,,,,,
lci_b3i_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #6
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 6",y,,,,,
lci_b3ii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #6
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 6",y,,,,,
lci_b3iii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #6
City:",,,,,,,"[lci_b3_count] >= 6",,,,,,
lci_b3iv_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #6
State:",,,,,,,"[lci_b3_count] >= 6",,,,,,
lci_b3v_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #6
Country:",,,,,,,"[lci_b3_count] >= 6",,,,,,
lci_b3i_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #7
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 7",y,,,,,
lci_b3ii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #7
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 7",y,,,,,
lci_b3iii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #7
City:",,,,,,,"[lci_b3_count] >= 7",,,,,,
lci_b3iv_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #7
State:",,,,,,,"[lci_b3_count] >= 7",,,,,,
lci_b3v_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #7
Country:",,,,,,,"[lci_b3_count] >= 7",,,,,,
lci_b3i_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #8
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 8",y,,,,,
lci_b3ii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #8
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 8",y,,,,,
lci_b3iii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #8
City:",,,,,,,"[lci_b3_count] >= 8",,,,,,
lci_b3iv_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #8
State:",,,,,,,"[lci_b3_count] >= 8",,,,,,
lci_b3v_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #8
Country:",,,,,,,"[lci_b3_count] >= 8",,,,,,
lci_b3i_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #9
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 9",y,,,,,
lci_b3ii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #9
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 9",y,,,,,
lci_b3iii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #9
City:",,,,,,,"[lci_b3_count] >= 9",,,,,,
lci_b3iv_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #9
State:",,,,,,,"[lci_b3_count] >= 9",,,,,,
lci_b3v_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #9
Country:",,,,,,,"[lci_b3_count] >= 9",,,,,,
lci_b4,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B4. Prior to elementary school, did you attend a daycare or any other type of school?",,,,,,,,y,,,,,
lci_b4b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B4b#. Describe approximately what dates/years you attended each:

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b4] = '1'",y,,,,,
lci_b4bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #1
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 1",y,,,,,
lci_b4bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #1
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 1",y,,,,,
lci_b4biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #1
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 1",,,,,,
lci_b4bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #2
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 2",y,,,,,
lci_b4bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #2
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 2",y,,,,,
lci_b4biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #2
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 2",,,,,,
lci_b4bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #3
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 3",y,,,,,
lci_b4bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #3
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 3",y,,,,,
lci_b4biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #3
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 3",,,,,,
lci_b4bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #4
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 4",y,,,,,
lci_b4bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #4
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 4",y,,,,,
lci_b4biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #4
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 4",,,,,,
lci_b4bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #5
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 5",y,,,,,
lci_b4bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #5
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 5",y,,,,,
lci_b4biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #5
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 5",,,,,,
lci_b4bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #6
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 6",y,,,,,
lci_b4bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #6
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 6",y,,,,,
lci_b4biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #6
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 6",,,,,,
lci_b4bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #7
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 7",y,,,,,
lci_b4bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #7
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 7",y,,,,,
lci_b4biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #7
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 7",,,,,,
lci_b4bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #8
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 8",y,,,,,
lci_b4bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #8
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 8",y,,,,,
lci_b4biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #8
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 8",,,,,,
lci_b4bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #9
Start date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 9",y,,,,,
lci_b4bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #9
End date:",,,date_ymd,,,y,"[lci_b4] = '1' and [lci_b4b_count] >= 9",y,,,,,
lci_b4biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Daycare or School #9
Type:
*Enter ""daycare"" or ""Pre-K"" or something similar.",,,,,,,"[lci_b4] = '1' and [lci_b4b_count] >= 9",,,,,,
lci_b5_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B5#. What are some of the things you liked doing, for example hobbies or activities (for example, reading, playing with balls, etc.)?

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,,y,,,,,
lci_b5i_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #1
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 1",y,,,,,
lci_b5ii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #1
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 1",y,,,,,
lci_b5iii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #1
Type:",,,,,,,"[lci_b5_count] >= 1",,,,,,
lci_b5i_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #2
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 2",y,,,,,
lci_b5ii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #2
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 2",y,,,,,
lci_b5iii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #2
Type:",,,,,,,"[lci_b5_count] >= 2",,,,,,
lci_b5i_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #3
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 3",y,,,,,
lci_b5ii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #3
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 3",y,,,,,
lci_b5iii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #3
Type:",,,,,,,"[lci_b5_count] >= 3",,,,,,
lci_b5i_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #4
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 4",y,,,,,
lci_b5ii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #4
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 4",y,,,,,
lci_b5iii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #4
Type:",,,,,,,"[lci_b5_count] >= 4",,,,,,
lci_b5i_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #5
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 5",y,,,,,
lci_b5ii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #5
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 5",y,,,,,
lci_b5iii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #5
Type:",,,,,,,"[lci_b5_count] >= 5",,,,,,
lci_b5i_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #6
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 6",y,,,,,
lci_b5ii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #6
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 6",y,,,,,
lci_b5iii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #6
Type:",,,,,,,"[lci_b5_count] >= 6",,,,,,
lci_b5i_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #7
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 7",y,,,,,
lci_b5ii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #7
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 7",y,,,,,
lci_b5iii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #7
Type:",,,,,,,"[lci_b5_count] >= 7",,,,,,
lci_b5i_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #8
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 8",y,,,,,
lci_b5ii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #8
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 8",y,,,,,
lci_b5iii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #8
Type:",,,,,,,"[lci_b5_count] >= 8",,,,,,
lci_b5i_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #9
Start date:

<i>*Some hobbies may have been present during the entire time period and so start and end would be the same as the time period in question. However, they could have really gotten into one hobby for part of the time period (e.g. for just a few months), in which case the start and end date could be different.)</i>",,,date_ymd,,,y,"[lci_b5_count] >= 9",y,,,,,
lci_b5ii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #9
End date:",,,date_ymd,,,y,"[lci_b5_count] >= 9",y,,,,,
lci_b5iii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Hobby or Activity #9
Type:",,,,,,,"[lci_b5_count] >= 9",,,,,,
lci_b6_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B6#. What individuals were you closest to during this time? (for example, friends, family, teachers, etc.)

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,,y,,,,,
lci_b6i_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #1
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 1",y,,,,,
lci_b6ii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #1
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 1",y,,,,,
lci_b6iii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #1
Relationship:",,,,,,,"[lci_b6_count] >= 1",,,,,,
lci_b6i_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #2
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 2",y,,,,,
lci_b6ii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #2
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 2",y,,,,,
lci_b6iii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #2
Relationship:",,,,,,,"[lci_b6_count] >= 2",,,,,,
lci_b6i_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #3
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 3",y,,,,,
lci_b6ii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #3
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 3",y,,,,,
lci_b6iii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #3
Relationship:",,,,,,,"[lci_b6_count] >= 3",,,,,,
lci_b6i_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #4
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 4",y,,,,,
lci_b6ii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #4
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 4",y,,,,,
lci_b6iii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #4
Relationship:",,,,,,,"[lci_b6_count] >= 4",,,,,,
lci_b6i_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #5
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 5",y,,,,,
lci_b6ii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #5
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 5",y,,,,,
lci_b6iii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #5
Relationship:",,,,,,,"[lci_b6_count] >= 5",,,,,,
lci_b6i_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #6
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 6",y,,,,,
lci_b6ii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #6
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 6",y,,,,,
lci_b6iii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #6
Relationship:",,,,,,,"[lci_b6_count] >= 6",,,,,,
lci_b6i_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #7
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 7",y,,,,,
lci_b6ii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #7
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 7",y,,,,,
lci_b6iii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #7
Relationship:",,,,,,,"[lci_b6_count] >= 7",,,,,,
lci_b6i_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #8
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 8",y,,,,,
lci_b6ii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #8
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 8",y,,,,,
lci_b6iii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #8
Relationship:",,,,,,,"[lci_b6_count] >= 8",,,,,,
lci_b6i_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #9
Start date:",,,date_ymd,,,y,"[lci_b6_count] >= 9",y,,,,,
lci_b6ii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #9
End date:",,,date_ymd,,,y,"[lci_b6_count] >= 9",y,,,,,
lci_b6iii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Person #9
Relationship:",,,,,,,"[lci_b6_count] >= 9",,,,,,
lci_b7,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B7. Did you have any experiences with alcohol or drugs during this period?",,,,,,,,y,,,,,
